report_id,days_policy_to_claim,claim_amount,sum_insured,claim_count_1y,was_investigated,policy_count,label
R318,34,17792.712430416334,500000,0,0,4,1
R319,57,6673.215589747962,500000,0,1,1,0
R320,159,3477.5732264651015,500000,0,1,2,1
R321,250,29669.566453448166,500000,0,0,1,0
R322,215,25446.245744993386,500000,1,0,1,0
R323,65,24494.335159472623,50000,0,0,2,1
R324,619,29210.25839730993,500000,0,0,4,1
R325,267,15202.811032338639,100000,2,0,2,1
R326,161,15673.624836664718,50000,0,0,2,1
R327,189,41857.306167225746,500000,1,0,1,0
R328,108,17534.28945740426,200000,0,0,2,1
R329,56,27351.321130540913,100000,0,0,4,1
R330,88,20063.81540963315,50000,1,0,1,0
R331,283,1517.4146992158494,100000,1,0,4,0
R332,2,1000.0,50000,0,0,2,1
R333,24,14210.157800600951,200000,2,0,4,1
R334,9,30561.01251669989,100000,2,0,4,1
R335,8,27882.916566360036,100000,1,0,2,1
R336,386,29140.771642240335,50000,0,0,3,1
R337,243,10129.538210636847,50000,0,0,4,1
R338,128,36158.72490122313,200000,2,0,3,0
R339,20,10351.066998136157,500000,0,0,2,1
R340,135,22128.243986699687,50000,1,0,3,1
R341,128,19896.47710092263,50000,1,0,3,0
R342,38,18261.261796854138,50000,1,0,3,0
R343,113,33385.92138295607,200000,1,0,3,0
R344,101,12948.894798340396,500000,0,0,4,1
R345,191,6503.947442880721,500000,2,0,4,1
R346,201,20199.954862064194,200000,1,0,1,0
R347,9,16001.732657134735,500000,1,0,3,1
R348,93,53773.82919082646,100000,3,0,2,1
R349,196,26765.07476439975,200000,2,0,4,1
R350,139,15906.594247813757,50000,3,1,3,1
R351,388,9438.884308129134,500000,1,0,2,1
R352,214,1197.1158943121518,100000,1,0,1,0
R353,35,9747.809142625669,200000,2,1,2,1
R354,14,21149.417717591317,200000,0,0,2,1
R355,205,34273.28651594769,50000,1,0,3,1
R356,5,31216.89142387919,50000,1,0,4,1
R357,176,22290.948316463793,200000,0,0,2,0
R358,563,16768.323342975153,100000,0,0,2,1
R359,171,22688.123564121543,50000,1,0,1,0
R360,98,14813.62002515424,200000,2,0,4,1
R361,206,37183.639957638756,200000,0,0,4,1
R362,122,18108.0981872492,50000,2,0,4,0
R363,157,19136.62141753273,500000,1,1,4,1
R364,567,1000.0,100000,0,0,4,1
R365,97,18045.65153477236,500000,1,0,1,1
R366,649,28364.84137964941,500000,1,0,4,1
R367,471,9322.774229614548,100000,0,0,4,1
R368,43,12492.796655071872,100000,1,0,3,0
R369,14,27927.110177336646,50000,0,0,1,1
R370,21,5233.4277648194675,50000,1,1,1,1
R371,3,30578.010075419184,50000,0,0,4,1
R372,19,14678.56109826898,100000,1,0,2,1
R373,229,16114.31779508797,500000,2,0,3,1
R374,14,8761.215948744059,100000,1,0,3,1
R375,76,23780.462604278833,50000,1,1,2,1
R376,372,44598.7198502938,500000,0,1,4,1
R377,4,27814.97239460632,50000,1,0,4,1
R378,336,11357.147380594643,500000,0,0,1,0
R379,66,31356.205854914762,50000,1,0,4,1
R380,25,16833.204540657505,100000,0,0,1,1
R381,238,33744.84981427559,200000,1,1,1,1
R382,198,28066.764021643627,200000,0,0,3,0
R383,419,1000.0,500000,0,0,2,1
R384,265,9959.203670449726,100000,0,0,2,0
R385,325,29443.8522283539,50000,0,0,1,0
R386,66,21516.572721450175,500000,2,0,3,0
R387,39,9762.440522921494,500000,1,0,2,1
R388,277,13664.104845061873,50000,0,0,1,1
R389,328,1000.0,50000,0,0,1,0
R390,931,19116.26712473604,50000,0,0,2,1
R391,106,42106.89726015764,100000,1,0,2,0
R392,93,28049.333907323256,200000,1,0,2,1
R393,299,41904.17001188423,500000,2,0,3,1
R394,83,28823.970897899802,500000,0,0,1,0
R395,534,30274.793433526916,200000,1,0,4,0
R396,390,39740.78687745024,500000,0,0,2,1
R397,112,23772.632593422262,100000,1,0,3,0
R398,277,18127.726784931197,50000,1,0,3,1
R399,280,30326.575166220122,200000,2,0,2,1
R400,21,34538.40237121885,100000,1,0,2,1
R401,465,15200.35357287791,50000,1,0,2,1
R402,140,12784.309176599709,200000,1,0,2,0
R403,350,21388.5603243088,100000,0,0,3,1
R404,77,28314.98866931662,200000,1,0,2,1
R405,451,27980.910486615616,200000,0,0,1,1
R406,98,5758.323998124009,100000,0,0,1,1
R407,2,39116.06067063322,500000,3,0,2,1
R408,471,13588.350706031495,100000,2,1,2,1
R409,19,17349.350031114205,200000,0,0,3,1
R410,76,10973.456400121802,200000,1,0,1,0
R411,599,46983.288359370876,100000,1,0,1,1
R412,601,22420.706702879674,50000,1,0,3,1
R413,170,11490.24919318435,50000,0,0,2,1
R414,199,28639.23549962446,50000,1,1,4,1
R415,119,27691.35779310033,50000,1,0,3,1
R416,69,18122.72976420116,100000,2,0,3,0
R417,79,28406.067127833834,500000,1,0,4,1
R418,223,11747.080391691356,50000,1,0,1,0
R419,279,15070.817250507476,200000,1,0,3,0
R420,313,1000.0,50000,0,0,1,1
R421,311,6760.489157804372,500000,1,0,1,1
R422,19,38076.308056706854,100000,2,0,3,0
R423,136,36414.286277223146,500000,0,0,3,0
R424,11,20657.886486489624,500000,0,0,2,1
R425,159,36629.314471898375,500000,3,0,1,1
R426,116,18399.25513391695,50000,1,0,3,0
R427,437,17565.89697432092,50000,1,0,1,1
R428,86,20565.106484655564,500000,2,0,3,0
R429,24,18750.784046764347,100000,2,0,3,1
R430,30,17848.036764398195,50000,0,1,2,1
R431,286,31433.981071495527,100000,3,0,2,1
R432,192,21501.35653956203,50000,0,0,2,0
R433,21,27124.817644338043,100000,0,1,3,1
R434,17,30313.80525277331,50000,0,0,2,1
R435,241,23881.857956547334,500000,2,0,1,0
R436,15,10297.286740917612,200000,2,0,1,1
R437,345,6471.341110359612,200000,2,1,3,1
R438,244,21487.806348073053,100000,1,0,2,0
R439,16,18287.436951750657,100000,0,0,4,1
R440,17,20873.914289201217,500000,0,0,3,1
R441,863,19839.459607514138,500000,1,1,4,0
R442,93,45835.736601665674,100000,2,0,3,1
R443,92,6697.73744358662,200000,1,0,4,0
R444,335,1000.0,500000,1,0,1,1
R445,588,23323.768335196095,100000,3,0,4,0
R446,853,16235.774454118047,500000,1,1,2,1
R447,279,23160.67869729951,500000,1,0,4,1
R448,94,25838.830222840013,50000,0,1,4,1
R449,17,32841.04695178897,500000,2,0,1,1
R450,300,4927.741796160617,100000,1,0,2,1
R451,163,14432.82102142837,500000,3,0,2,1
R452,110,24287.61258880764,100000,1,0,4,0
R453,473,27704.635956872266,50000,2,0,3,1
R454,23,41934.49550288386,50000,0,0,2,1
R455,135,29557.03971113867,200000,1,0,2,0
R456,2,19432.11404113723,50000,3,0,3,1
R457,126,11095.642470573384,50000,0,0,1,1
R458,11,14357.101472809809,100000,1,0,1,1
R459,25,14072.971770428936,200000,2,0,1,1
R460,25,26552.336285137608,50000,2,0,2,1
R461,209,22569.974455858304,500000,0,0,2,1
R462,274,6763.5042915782105,200000,2,1,3,1
R463,175,15640.985309095671,50000,1,0,3,1
R464,654,28775.475534514204,200000,0,0,3,0
R465,93,23516.62354974059,50000,1,0,4,0
R466,67,25686.446160127707,100000,2,0,1,0
R467,405,23829.21710057263,200000,0,0,2,1
R468,50,36264.30734608859,200000,1,0,3,0
R469,660,22360.4306382437,50000,1,0,2,1
R470,2,16139.77202129302,200000,1,1,4,1
R471,700,10842.449588664394,50000,1,0,3,1
R472,8,22496.094582097117,500000,2,0,3,1
R473,443,1000.0,200000,0,0,4,1
R474,150,18157.109981672882,200000,0,0,1,1
R475,991,17941.60140078656,100000,0,0,1,0
R476,15,6355.2914638271905,100000,0,0,2,1
R477,161,10717.341613440041,200000,1,0,2,0
R478,696,28096.57530148241,100000,0,0,3,1
R479,148,22307.117490749624,200000,4,0,1,1
R480,198,21017.883337073275,50000,0,0,2,1
R481,237,23063.475339320226,200000,1,0,1,1
R482,121,20926.275879489236,200000,0,0,2,1
R483,197,32428.625628583148,500000,1,0,4,0
R484,175,21234.291817036486,100000,4,0,4,1
R485,462,5417.868861812496,100000,1,0,2,0
R486,9,36301.299648744105,500000,1,0,4,0
R487,65,23703.402673288456,50000,2,0,1,1
R488,600,14107.462692049323,50000,0,0,2,1
R489,441,7465.982817049815,50000,0,0,4,0
R490,121,23959.142209580456,500000,1,0,2,1
R491,193,18828.279950256245,200000,2,0,1,1
R492,64,35741.46786032409,50000,1,0,1,0
R493,41,16540.92719333172,50000,0,0,2,0
R494,124,11626.192103175332,500000,2,0,2,1
R495,87,28957.962182359282,100000,0,0,1,0
R496,175,29252.818927168315,500000,0,0,2,0
R497,16,21686.513676101957,100000,0,0,2,1
R498,732,26763.570476749082,50000,0,0,2,0
R499,856,19623.12879257762,50000,2,0,3,0
R500,239,22338.65101009247,200000,1,0,1,1
R501,153,31649.908825639228,200000,1,0,3,0
R502,74,26253.18334021503,100000,1,1,3,1
R503,336,18307.255616673752,50000,0,0,3,0
R504,230,33523.62545926151,50000,1,0,4,0
R505,35,1000.0,500000,0,1,3,1
R506,483,40520.73311421935,50000,0,0,2,0
R507,345,2940.409051092647,50000,1,1,3,1
R508,598,13729.07175227704,500000,2,0,4,1
R509,258,19590.82464804931,500000,1,0,4,1
R510,190,18535.193292718388,50000,1,0,3,0
R511,108,30064.11040026555,200000,1,0,1,1
R512,539,9421.633813897657,200000,0,0,2,1
R513,402,22607.668174830633,50000,2,0,2,1
R514,9,14217.879017802461,200000,0,0,1,1
R515,5,22951.409793374165,500000,0,0,2,1
R516,94,19352.277402021235,200000,0,0,4,1
R517,332,20929.35652682978,50000,1,1,4,1
R518,872,14500.751675356543,200000,1,0,2,0
R519,32,14899.360499039176,50000,0,0,1,1
R520,180,22872.72514027427,200000,0,0,2,1
R521,95,29437.15505756044,50000,0,0,3,0
R522,700,14017.206658021521,50000,2,0,4,0
R523,369,11312.324554270903,200000,4,0,4,1
R524,364,26134.60165671837,200000,1,0,3,0
R525,126,19674.961069423105,500000,0,0,4,0
R526,107,28304.98133985952,100000,2,0,3,1
R527,63,10942.027866288525,50000,1,0,4,1
R528,11,2205.610745765691,50000,2,0,1,1
R529,400,14669.959181736656,50000,1,0,4,0
R530,335,12336.473907349839,50000,0,0,2,0
R531,1634,19212.115999197,200000,1,0,2,1
R532,1138,13631.547857296104,200000,1,0,2,0
R533,162,27410.16951336449,100000,0,0,2,1
R534,293,17118.497375774838,50000,3,0,1,1
R535,579,21504.74498773901,100000,4,0,4,1
R536,378,21576.34558440944,500000,0,0,2,1
R537,56,21949.550924121875,100000,0,0,4,0
R538,119,19758.708895450265,100000,3,0,1,1
R539,27,25106.006904103135,500000,1,0,3,0
R540,616,12043.448661741924,500000,1,0,1,1
R541,186,33994.179266538835,100000,1,0,2,1
R542,51,17634.626166314647,500000,1,0,1,0
R543,222,6884.508621013183,100000,2,0,2,0
R544,192,21880.73356991773,200000,0,1,1,1
R545,88,11488.19517552515,200000,0,0,2,1
R546,24,26653.34534508875,100000,1,0,3,1
R547,222,42096.05576042378,500000,0,0,3,0
R548,146,12134.279084421498,500000,1,0,4,0
R549,295,23323.723332239846,200000,0,0,4,1
R550,146,2444.9441129537227,200000,0,0,1,1
R551,382,24539.052294413472,500000,2,0,3,0
R552,160,11142.862002003101,500000,0,0,2,1
R553,164,13751.653815655176,500000,1,0,3,1
R554,418,8987.13510160172,500000,2,0,3,0
R555,103,27321.512260547355,100000,1,0,3,0
R556,28,30073.043574732626,500000,0,0,3,1
R557,5,20233.852146585075,200000,2,0,2,1
R558,281,11355.732946642804,200000,0,0,3,1
R559,193,35895.23036103862,50000,1,0,3,0
R560,243,12495.898722453438,500000,2,0,1,0
R561,47,1000.0,100000,1,0,4,0
R562,29,24583.890099570683,50000,0,1,4,1
R563,2,8952.253263584833,50000,0,0,4,1
R564,86,29886.087934991745,100000,0,0,4,1
R565,178,16188.623033265812,50000,0,0,2,0
R566,99,26037.13240544196,50000,2,0,1,0
R567,115,34015.00346552158,200000,5,0,1,1
R568,469,7911.411353792781,50000,0,0,1,1
R569,85,14340.628691075945,100000,2,0,3,0
R570,144,19243.289273429367,500000,1,0,3,1
R571,306,35375.51319034344,500000,1,0,1,1
R572,101,13416.172820595544,500000,4,0,2,1
R573,194,14054.963040509927,200000,1,0,4,1
R574,396,24781.405755558084,200000,1,0,2,0
R575,597,14227.712742894291,200000,1,1,1,0
R576,31,21525.258828976166,100000,1,0,4,0
R577,522,4484.6257903187325,500000,2,0,4,0
R578,135,42143.299425565965,100000,1,0,4,0
R579,59,6522.907696905966,100000,1,0,2,1
R580,122,16782.472960097915,50000,1,0,1,0
